,Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
13652,Unknown,India,2020-11-29 05:25:55,0,0,0
13578,Unknown,India,2020-11-30 05:26:13,0,0,0
10608,Unknown,India,2020-12-01 05:26:18,0,0,0
17407,Unknown,India,2020-12-02 05:27:41,0,0,0
10830,Unknown,India,2020-12-03 05:28:22,0,0,0
10793,Unknown,India,2020-12-04 05:27:27,0,0,0
1782,Unknown,India,2020-12-05 05:27:36,0,0,0
1819,Unknown,India,2020-12-06 05:26:18,0,0,0
15026,Unknown,India,2020-12-07 05:26:14,0,0,0
14989,Unknown,India,2020-12-08 05:27:42,0,0,0
9644,Unknown,India,2020-12-09 05:28:01,0,0,0
9607,Unknown,India,2020-12-10 05:26:19,0,0,0
12246,Unknown,India,2020-12-11 05:26:59,0,0,0
12283,Unknown,India,2020-12-12 05:26:19,0,0,0
4788,Unknown,India,2020-12-13 05:27:20,0,0,0
4751,Unknown,India,2020-12-14 05:26:27,0,0,0
8269,Unknown,India,2020-12-15 05:26:38,0,0,0
8306,Unknown,India,2020-12-16 05:28:04,0,0,0
20351,Unknown,India,2020-12-17 05:28:12,0,0,0
20314,Unknown,India,2020-12-18 05:28:18,0,0,0
2825,Unknown,India,2020-12-19 05:27:52,0,0,0
2788,Unknown,India,2020-12-20 05:27:32,0,0,0
6934,Unknown,India,2020-12-21 05:27:58,0,0,0
6971,Unknown,India,2020-12-22 05:22:33,0,0,0
22130,Unknown,India,2020-12-23 05:22:03,0,0,0
22093,Unknown,India,2020-12-24 05:23:04,0,0,0
14320,Unknown,India,2020-12-25 05:22:48,0,0,0
14357,Unknown,India,2020-12-26 05:22:28,0,0,0
3785,Unknown,India,2020-12-27 05:22:55,0,0,0
3748,Unknown,India,2020-12-28 05:22:06,0,0,0
21386,Unknown,India,2020-12-29 05:22:37,0,0,0
21349,Unknown,India,2020-12-30 05:22:34,0,0,0
1116,Unknown,India,2020-12-31 05:22:49,0,0,0
1153,Unknown,India,2021-01-01 05:23:07,20035,256,23181
14281,Unknown,India,2021-01-02 05:22:33,0,0,46107
3489,Unknown,India,2021-01-03 05:22:52,0,0,0
3452,Unknown,India,2021-01-04 05:22:02,0,0,0
7008,Unknown,India,2021-01-05 05:21:49,0,0,0
7045,Unknown,India,2021-01-06 05:22:16,0,0,0
22426,Unknown,India,2021-01-07 05:22:03,0,0,0
22389,Unknown,India,2021-01-08 05:22:42,0,0,0
5861,Unknown,India,2021-01-09 05:22:18,0,0,0
5824,Unknown,India,2021-01-10 05:22:12,0,0,0
19535,Unknown,India,2021-01-11 05:21:50,0,0,0
19572,Unknown,India,2021-01-12 05:22:15,0,0,0
10277,Unknown,India,2021-01-13 05:22:15,0,0,0
10240,Unknown,India,2021-01-14 05:22:32,0,0,0
1190,Unknown,India,2021-01-15 17:22,0,0,0
1227,Unknown,India,2021-01-16 05:22:40,0,0,0
17370,Unknown,India,2021-01-17 05:22:17,0,0,0
17333,Unknown,India,2021-01-18 05:22:34,0,0,0
11500,Unknown,India,2021-01-19 05:22:15,0,0,0
11463,Unknown,India,2021-01-20 05:21:54,0,0,0
1410,Unknown,India,2021-01-21 05:22:01,0,0,0
1447,Unknown,India,2021-01-22 05:22:10,0,0,0
14951,Unknown,India,2021-01-23 05:22:03,0,0,0
14914,Unknown,India,2021-01-24 05:22:35,0,0,0
17594,Unknown,India,2021-01-25 05:22:16,0,0,0
17631,Unknown,India,2021-01-26 05:22:02,0,0,0
10904,Unknown,India,2021-01-27 05:23:41,0,0,0
10867,Unknown,India,2021-01-28 05:22:24,0,0,0
16591,Unknown,India,2021-01-29 05:22:23,0,0,0
16554,Unknown,India,2021-01-30 05:22:49,0,0,0
7901,Unknown,India,2021-01-31 05:22:42,0,0,0
7938,Unknown,India,2021-02-01 05:22:53,0,0,0
20275,Unknown,India,2021-02-02 05:22:49,0,0,0
8084,Unknown,India,2021-02-03 05:22:52,0,0,0
8047,Unknown,India,2021-02-04 05:22:26,0,0,0
4899,Unknown,India,2021-02-05 05:22:38,0,0,0
4936,Unknown,India,2021-02-06 05:23:55,0,0,0
12612,Unknown,India,2021-02-07 05:23:00,0,0,0
12575,Unknown,India,2021-02-08 05:22:39,0,0,0
6046,Unknown,India,2021-02-09 05:23:30,0,0,0
5972,Unknown,India,2021-02-10 05:22:41,0,0,0
14803,Unknown,India,2021-02-11 05:23:55,0,0,0
14877,Unknown,India,2021-02-12 05:23:29,0,0,0
1523,Unknown,India,2021-02-13 05:22:12,0,0,0
1486,Unknown,India,2021-02-14 05:23:43,0,0,0
10943,Unknown,India,2021-02-15 05:24:49,0,0,0
